2026-08-11 11:32:26,347 - INFO - ==================================================
2026-08-11 11:32:26,347 - INFO - 🚀 Starting VUCEM Automation Bot
2026-08-11 11:32:26,348 - INFO - ==================================================
2026-08-11 11:32:26,351 - INFO - Cargando proveedores desde BOM...
2026-08-11 11:32:27,806 - INFO - ✅ 3588 proveedores cargados.
2026-08-11 11:32:27,847 - INFO - Cargando insumos por modelo desde BOM (solo categorías al INICIO)...
2026-08-11 11:32:32,256 - INFO - ✅ 1614 modelos con insumos cargados.
2026-08-11 11:32:32,257 - INFO - Procesando archivo maestro (hoja '2026')...
2026-08-11 11:32:32,390 - CRITICAL - ❌ Data preparation failed: 'Worksheet 2026 does not exist.'
2026-08-11 11:33:32,970 - INFO - ==================================================
2026-08-11 11:33:33,009 - INFO - 🚀 Starting VUCEM Automation Bot
2026-08-11 11:33:33,009 - INFO - ==================================================
2026-08-11 11:33:33,016 - INFO - Cargando proveedores desde BOM...
2026-08-11 11:33:34,361 - INFO - ✅ 3588 proveedores cargados.
2026-08-11 11:33:34,361 - INFO - Cargando insumos por modelo desde BOM (solo categorías al INICIO)...
2026-08-11 11:33:38,672 - INFO - ✅ 1614 modelos con insumos cargados.
2026-08-11 11:33:39,265 - INFO - ✅ Generado: PLANTILLA_000000027898_Rotten_Sandwich.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,268 - INFO - ✅ Generado: PLANTILLA_000000027895_Disgusting_Hot_Dog.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,271 - INFO - ✅ Generado: PLANTILLA_000000027916_Nasty_Chinese_Food.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,274 - INFO - ✅ Generado: PLANTILLA_000000030149_Fiery_clown_1.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,278 - INFO - ✅ Generado: PLANTILLA_000000030138_Burger´s_Clown_1.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:39,280 - INFO - ✅ Generado: PLANTILLA_000000149113__Marinero_Creepy.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,283 - INFO - ✅ Generado: PLANTILLA_000000027976_Chocolate_Gigi_1.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,286 - INFO - ✅ Generado: PLANTILLA_000000027977_Fangsy_1.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,288 - INFO - ✅ Generado: PLANTILLA_000000030101_Jester_Clown.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,291 - INFO - ✅ Generado: PLANTILLA_000000030103_Clown_Smiles.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,294 - INFO - ✅ Generado: PLANTILLA_000000030141_Eyeball_Mask.csv (4 filas, 1 variables, col_G=4)
